pT,W,R,pL,c,pL*c,pQ,R1_array,R2_array,Max_R1_Payoff,Max_R2_Payoff,Max_Payoff,Eq,Number_Eqs,Strategy_Name,Strategy
0.5,77,77,0.8844907194751556,10,8.844907194751556,1,"[[38.5, 38.5], [48.91, 68.16]]","[[38.5, 48.91], [38.5, 68.16]]",68.16,68.16,68.16,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,71,71,0.4528014601689734,27,12.225639424562281,1,"[[35.5, 35.5], [41.02, 58.77]]","[[35.5, 41.02], [35.5, 58.77]]",58.77,58.77,58.77,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,53,53,0.21064518874728966,6,1.263871132483738,1,"[[26.5, 26.5], [38.49, 51.74]]","[[26.5, 38.49], [26.5, 51.74]]",51.74,51.74,51.74,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,92,92,0.8823855829929624,3,2.647156748978887,1,"[[46.0, 46.0], [66.35, 89.35]]","[[46.0, 66.35], [46.0, 89.35]]",89.35,89.35,89.35,"[array([0., 1.]), array([0., 1.]), array([-inf,  inf]), array([-inf,  inf])]",2.0,Not_Unique,2
0.5,48,48,0.7874043570411046,5,3.937021785205523,1,"[[24.0, 24.0], [32.06, 44.06]]","[[24.0, 32.06], [24.0, 44.06]]",44.06,44.06,44.06,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,15,15,0.8074061375081466,13,10.496279787605905,1,"[[7.5, 7.5], [0.75, 4.5]]","[[7.5, 0.75], [7.5, 4.5]]",7.5,7.5,7.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,39,39,0.6742718000092154,1,0.6742718000092154,1,"[[19.5, 19.5], [28.58, 38.33]]","[[19.5, 28.58], [19.5, 38.33]]",38.33,38.33,38.33,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,23,23,0.4401768990192222,16,7.042830384307555,1,"[[11.5, 11.5], [10.21, 15.96]]","[[11.5, 10.21], [11.5, 15.96]]",11.5,15.96,15.96,"[array([0., 1.]), array([0., 1.]), array([0.78, 0.22]), array([0.78, 0.22]), array([1., 0.]), array([1., 0.])]",3.0,Not_Unique,2
0.5,80,80,0.4135115519051198,3,1.2405346557153594,1,"[[40.0, 40.0], [58.76, 78.76]]","[[40.0, 58.76], [40.0, 78.76]]",78.76,78.76,78.76,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,62,62,0.5562142406384935,35,19.46749842234727,1,"[[31.0, 31.0], [27.03, 42.53]]","[[31.0, 27.03], [31.0, 42.53]]",31.0,42.53,42.53,"[array([0., 1.]), array([0., 1.]), array([0.74, 0.26]), array([0.74, 0.26]), array([ 1., -0.]), array([ 1., -0.])]",3.0,Not_Unique,2
0.5,67,67,0.9212219498803208,39,35.92765604533251,1,"[[33.5, 33.5], [14.32, 31.07]]","[[33.5, 14.32], [33.5, 31.07]]",33.5,33.5,33.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,16,16,0.6558294252787592,10,6.558294252787592,1,"[[8.0, 8.0], [5.44, 9.44]]","[[8.0, 5.44], [8.0, 9.44]]",8.0,9.44,9.44,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.36, 0.64]), array([0.36, 0.64])]",3.0,Not_Unique,2
0.5,0,0,0.2742759145826841,1,0.2742759145826841,1,"[[0.0, 0.0], [-0.27, -0.27]]","[[0.0, -0.27], [0.0, -0.27]]",0.0,0.0,0.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,42,42,0.3545354325745136,1,0.3545354325745136,1,"[[21.0, 21.0], [31.15, 41.65]]","[[21.0, 31.15], [21.0, 41.65]]",41.65,41.65,41.65,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,56,56,0.04158303012604525,10,0.4158303012604525,1,"[[28.0, 28.0], [41.58, 55.58]]","[[28.0, 41.58], [28.0, 55.58]]",55.58,55.58,55.58,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,9,9,0.96096745457983,47,45.16547036525201,1,"[[4.5, 4.5], [-38.42, -36.17]]","[[4.5, -38.42], [4.5, -36.17]]",4.5,4.5,4.5,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,54,54,0.6598540532671715,4,2.639416213068686,1,"[[27.0, 27.0], [37.86, 51.36]]","[[27.0, 37.86], [27.0, 51.36]]",51.36,51.36,51.36,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,80,80,0.9899514783078411,35,34.64830174077444,1,"[[40.0, 40.0], [25.35, 45.35]]","[[40.0, 25.35], [40.0, 45.35]]",40.0,45.35,45.35,"[array([-inf,  inf]), array([-inf,  inf]), array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.27, 0.73]), array([0.27, 0.73])]",4.0,Not_Unique,2
0.5,40,40,0.18347958398495778,25,4.586989599623944,1,"[[20.0, 20.0], [25.41, 35.41]]","[[20.0, 25.41], [20.0, 35.41]]",35.41,35.41,35.41,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,30,30,0.2305522491148616,12,2.7666269893783393,1,"[[15.0, 15.0], [19.73, 27.23]]","[[15.0, 19.73], [15.0, 27.23]]",27.23,27.23,27.23,"[array([-0.,  1.]), array([-0.,  1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,36,36,0.6560696595177974,44,28.867065018783084,1,"[[18.0, 18.0], [-1.87, 7.13]]","[[18.0, -1.87], [18.0, 7.13]]",18.0,18.0,18.0,"[array([ 1., -0.]), array([ 1., -0.])]",1.0,Guess,0
0.5,89,89,0.22240752990000912,33,7.3394484867003005,1,"[[44.5, 44.5], [59.41, 81.66]]","[[44.5, 59.41], [44.5, 81.66]]",81.66,81.66,81.66,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,2,2,0.3861394597925163,18,6.950510276265293,1,"[[1.0, 1.0], [-5.45, -4.95]]","[[1.0, -5.45], [1.0, -4.95]]",1.0,1.0,1.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,57,57,0.7690096619305826,13,9.997125605097574,1,"[[28.5, 28.5], [32.75, 47.0]]","[[28.5, 32.75], [28.5, 47.0]]",47.0,47.0,47.0,"[array([-0.,  1.]), array([-0.,  1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,20,20,0.8779360929001822,24,21.07046622960437,1,"[[10.0, 10.0], [-6.07, -1.07]]","[[10.0, -6.07], [10.0, -1.07]]",10.0,10.0,10.0,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,65,65,0.2674568844534507,36,9.628447840324226,1,"[[32.5, 32.5], [39.12, 55.37]]","[[32.5, 39.12], [32.5, 55.37]]",55.37,55.37,55.37,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
0.5,54,54,0.7748537349007603,13,10.073098553709883,1,"[[27.0, 27.0], [30.43, 43.93]]","[[27.0, 30.43], [27.0, 43.93]]",43.93,43.93,43.93,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,9,9,0.9883217778039988,40,39.53287111215995,1,"[[4.5, 4.5], [-32.78, -30.53]]","[[4.5, -32.78], [4.5, -30.53]]",4.5,4.5,4.5,"[array([1., 0.]), array([1., 0.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,68,68,0.45083535331538416,41,18.48424948593075,1,"[[34.0, 34.0], [32.52, 49.52]]","[[34.0, 32.52], [34.0, 49.52]]",34.0,49.52,49.52,"[array([-0.,  1.]), array([-0.,  1.]), array([0.91, 0.09]), array([0.91, 0.09]), array([ 1., -0.]), array([ 1., -0.])]",3.0,Not_Unique,2
0.5,18,18,0.06960557456330174,24,1.6705337895192418,1,"[[9.0, 9.0], [11.83, 16.33]]","[[9.0, 11.83], [9.0, 16.33]]",16.33,16.33,16.33,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,17,17,0.519794952884271,46,23.910567832676467,1,"[[8.5, 8.5], [-11.16, -6.91]]","[[8.5, -11.16], [8.5, -6.91]]",8.5,8.5,8.5,"[array([0., 1.]), array([0., 1.]), array([1., 0.]), array([1., 0.])]",2.0,Not_Unique,2
0.5,84,84,0.9926026088726988,32,31.76328348392636,1,"[[42.0, 42.0], [31.24, 52.24]]","[[42.0, 31.24], [42.0, 52.24]]",42.0,52.24,52.24,"[array([1., 0.]), array([1., 0.]), array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.49, 0.51]), array([0.49, 0.51])]",4.0,Not_Unique,2
