pT,W,R,pL,c,pL*c,pQ,R1_array,R2_array,Max_R1_Payoff,Max_R2_Payoff,Max_Payoff,Eq,Number_Eqs,Strategy_Name,Strategy
0.5,100,19,0.25980867419213016,30,7.794260225763905,1,"[[29.75, 29.75], [46.96, 51.71]]","[[29.75, 46.96], [29.75, 51.71]]",51.71,51.71,51.71,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,48,64,0.0135682022663558,35,0.474887079322453,1,"[[28.0, 28.0], [39.53, 55.53]]","[[28.0, 39.53], [28.0, 55.53]]",55.53,55.53,55.53,"[array([0., 1.]), array([0., 1.]), array([ inf, -inf]), array([ inf, -inf])]",2.0,Not_Unique,2
0.5,65,35,0.61652646600186,29,17.87926751405394,1,"[[25.0, 25.0], [23.37, 32.12]]","[[25.0, 23.37], [25.0, 32.12]]",25.0,32.12,32.12,"[array([0., 1.]), array([0., 1.]), array([0.81, 0.19]), array([0.81, 0.19]), array([1., 0.]), array([1., 0.])]",3.0,Not_Unique,2
0.5,3,56,0.34731901872397686,41,14.240079767683051,1,"[[14.75, 14.75], [1.26, 15.26]]","[[14.75, 1.26], [14.75, 15.26]]",14.75,15.26,15.26,"[array([1., 0.]), array([1., 0.]), array([0., 1.]), array([0., 1.]), array([0.04, 0.96]), array([0.04, 0.96])]",3.0,Not_Unique,2
0.5,47,88,0.34160520838234276,35,11.956182293381996,1,"[[33.75, 33.75], [33.54, 55.54]]","[[33.75, 33.54], [33.75, 55.54]]",33.75,55.54,55.54,"[array([0., 1.]), array([0., 1.]), array([0.99, 0.01]), array([0.99, 0.01]), array([1., 0.]), array([1., 0.])]",3.0,Not_Unique,2
0.5,27,25,0.04889415466336966,38,1.857977877208047,1,"[[13.0, 13.0], [17.89, 24.14]]","[[13.0, 17.89], [13.0, 24.14]]",24.14,24.14,24.14,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,10,17,0.7231212413117499,16,11.569939860987999,1,"[[6.75, 6.75], [-2.32, 1.93]]","[[6.75, -2.32], [6.75, 1.93]]",6.75,6.75,6.75,"[array([1., 0.]), array([1., 0.])]",1.0,Guess,0
0.5,82,82,0.07992640723024536,4,0.3197056289209814,1,"[[41.0, 41.0], [61.18, 81.68]]","[[41.0, 61.18], [41.0, 81.68]]",81.68,81.68,81.68,"[array([0., 1.]), array([0., 1.])]",1.0,Review,1
0.5,6,40,0.35700316983683866,7,2.4990221888578708,1,"[[11.5, 11.5], [10.5, 20.5]]","[[11.5, 10.5], [11.5, 20.5]]",11.5,20.5,20.5,"[array([0., 1.]), array([0., 1.]), array([0.9, 0.1]), array([0.9, 0.1]), array([1., 0.]), array([1., 0.])]",3.0,Not_Unique,2
0.5,43,54,0.21507495122553622,21,4.516573975736261,1,"[[24.25, 24.25], [30.48, 43.98]]","[[24.25, 30.48], [24.25, 43.98]]",43.98,43.98,43.98,"[array([-0.,  1.]), array([-0.,  1.])]",1.0,Review,1
